source_sentence	target_sentence
"""Rename on reboot: """	"""Innit tuma kurmitinal: """
"""Rename: """	"""Innit: """
"""Skipped: """	"""Diwaama: """
"""Space available: """	"""Boowal keddingal: """
"""Space required: """	"""Boowal coklangal: """
"""Unregistering: """	"""Nana momta winndito: """
#%S does not exist!	#%S woodaani
#1 #2 is not compatible with older versions of Firefox Sync. Please update Firefox on your other computer(s).	#1 #2 jaaɓdaani e yamre sakkitiinde Firefox Sync. Tiiɗno hesɗitin Firefox e ordinateer maa goɗɗo oo.
#1 #2 is not compatible with the latest version of Firefox Sync. Please update to the latest version.	#1 #2 jaaɓdaani e yamre sakkitiinde Firefox Sync. Tiiɗno hesɗitin to yamre sakkitiinde.
#1 (#2 window);#1 (#2 windows)	#1 (henorde #2);#1 (kenorɗe #2)
#1 (and #2 other tab);#1 (and #2 other tabs)	#1 (e tabbe goɗɗe #2);#1 (e tabbe goɗɗe #2)
#1 add-on has been installed successfully.;#1 add-ons have been installed successfully.	#1 ɓeyditere aafaama no haaniri.;#1 ɓeyditere aafaama no haaniri.
#1 add-on will be installed after you restart #2.;#1 add-ons will be installed after you restart #2.	#1 ɓeyditere maa aafoye caggal nde puɗɗitiɗaa #2.;#1 ɓeyditte maa aafoye caggal nde puɗɗitiɗaa #2.
#1 call;#1 calls	#1 noddu;#1 calls
#1 could not be installed because #3 cannot modify the needed file.	#1 horiima aafeede sabu #3 waawaa waylude fiilde soklaande ndee.
#1 could not be installed because it has a high risk of causing stability or security problems.	#1 horiima aafeede sabu ena hulaa maa addu caɗeele kisal walla jamɗugol.
#1 could not be installed because it is not compatible with #3 #4.	#1 horiima aafeede sabu ngal jaaɓdaani e #3 #4.
#1 day ago;#1 days ago	Gila ñalawma #1; gila ñalɗi #1.
#1 day ago;#1 days ago	Waɗii ñalawma #1; waɗii balɗe #1.
#1 day remaining;#1 days remaining	ena heddii ñalawma #1;ena heddii balɗe #1
#1 draw;#1 draws	#1 nat;#1 nate
#1 empty slot;#1 empty slots	#1 nokku ɓolo;#1 nokkuuji ɓoli
#1 error;#1 errors	juumre #1 juume ;#1
#1 has been installed successfully.;#2 add-ons have been installed successfully.	#1 aafaama haa moƴƴi.;ɓeyditte #2 aafaama kadi haa moƴƴi.
#1 hour ago;#1 hours ago	Gila njamndi #1; gila jamɗe #1.
#1 item hidden by filters;#1 items hidden by filters	#1 temre ciiwtirɗe cuuɗi;#1 teme ciiwtirɗe cuuɗi
#1 minute ago;#1 minutes ago	Gila hojom #1; Gila hojomaaji #1
#1 more…;#1 more…	#1 goɗɗe…;#1goɗɗe…
#1 of #2 elapsed	#1 e nder #2 ɓennii
#1 of #2 match;#1 of #2 matches	#1 e dow #2 yiytaa;#1 e dow #2 njiytaa
#1 prevented this site from opening a pop-up window. Would you like to show it?;#1 prevented this site from opening #2 pop-up windows. Would you like to show them?	#1 haɗii ndee lowre udditde henorde suppitere. Aɗa yiɗi hollude nde?;#1 haɗii ndee lowre udditde kenorɗe #2 cuppitte. Aɗa yiɗi hollude ɗe?
#1 prevented this site from opening a pop-up window.;#1 prevented this site from opening #2 pop-up windows.	#1 haɗii ndee lowre udditde henorde suppitere.;#1 haɗii ndee lowre udditde kenorɗe cuppitte #2.
#1 repeat;#1 repeats	#1 refto;#1 reftooji
#1 review;#1 reviews	#1 ƴeewto;#1 ƴeewte
#1 rule.;#1 rules.	kuulal #1..;#1 kuule.
#1 tab has arrived from #2;#1 tabs have arrived from #2	tabbere #1 arii iwde to #2; tabbe #1 ngarii iwde to #2
#1 tab has arrived from your connected devices;#1 tabs have arrived from your connected devices	tabbere #1 arii iwde to kaɓirɗi maa ceŋiiɗi; tabbe #1 ngarii iwde to  kaɓirɗi maa ceŋiiɗi
#1 tab has arrived;#1 tabs have arrived	tabbere #1 arii; tabbe #1 ngarii
#1 warning;#1 warnings	#1 deentingol;#1 deentine
#1 will be installed after you restart #3.;#2 add-ons will be installed after you restart #3.	#1 maa aafe caggal nde kurmitin-ɗaa #3.;ɓeyditte #2 maa aafwe caggal nde kurmitin-ɗaa #3.
#1c;#1c	#1c;#1c
#1r;#1r	#1r;#1r
#3 has prevented #2 from installing an unverified add-on.	#3 haɗii ndee #2 aafde ɓeydital ngal ƴeewtaaka.
$%(sum)s	$%(sum)s
$BrandFullName Setup	Loowgol $BrandFullName
$BrandFullName Uninstall	Momtugol $BrandFullName
$BrandFullNameDA has been installed on your computer.\n\nClick Finish to close this wizard.	$BrandFullNameDA aafaama e ordinateer maa.\n\nDobo Gaynu ngam uddude ndee ɗoworde.
$BrandFullNameDA has been uninstalled from your computer.\n\nClick Finish to close this wizard.	$BrandFullNameDA aaftaama e ordinateer maa.\n\nDobo Gaynu ngam uddude ndee ɗoworde.
$BrandFullNameDA will be uninstalled from the following folder. $_CLICK	$BrandFullNameDA maa momte e ndee-ɗoo runngere. $_CLICK
$BrandShortName &Options	&Cuɓe $BrandShortName
$BrandShortName &Safe Mode	&Mbayka Koolnol $BrandShortName
$BrandShortName Installer	$BrandShortName gaafowel
$BrandShortName delivers safe, easy web browsing. A familiar user interface, enhanced security features including protection from online identity theft, and integrated search let you get the most out of the web.	$BrandShortName ena addi peeragol koolningol, beeɓngol. Daartorde kuutoro heftiniingo, fannuuji kisal moƴƴinaaɗi kañum'en e ndeenka e nguykaaji innitol e ceŋol, e njiylaw naatinaaɗo, ɗum fof maa hokke waawde huutoraade geese no ɓurɗi.
$BrandShortName has been installed before.\nLet's get you a new copy.	$BrandShortName aafanooma adan. \n Heɓ heen tumbitere hesere.
$BrandShortName is already installed.\nLet's update it.	$BrandShortName aafanooma. \n Hesɗitin ɗum.
$BrandShortName is already running.\n\nPlease close $BrandShortName prior to launching the version you have just installed.	$BrandShortName ena doga kisa.\n\nTiiɗno uddu $BrandShortName ko adii aɗa hurmina yamre nde aaf-ɗaa jooni ndee.
$BrandShortName must be closed to proceed with the installation.\n\nPlease close $BrandShortName to continue.	$BrandShortName maa uddee nde aafgol ngol waawa jokkude.\n\nTiiɗno uddu $BrandShortName ngam jokkude.
$BrandShortName must be closed to proceed with the uninstall.\n\nPlease close $BrandShortName to continue.	$BrandShortName maa uddee nde loowtugol ngol waawa jokkude.\n\nTiiɗno uddu $BrandShortName ngam jokkude.
$BrandShortName will be installed to the following location:	$BrandShortName maa aafe e ndee-ɗoo nokkuure:
